order	tree	tree_sp	block	block2	site	treatment	mo	moisture_content	LAI	basal_area	nematodes_gram	Achromadora	Acrobeles	Acrobeloides	Acrolobus	Aglenchus	Alaimus	Allodorylaimus	Anaplectus	Anatonchus	Anguina	Aphelenchoides	Aphelenchus	Aporcelaimellus	Aporcelaimium	Aporcelaimus	Aprutides	Axonchium	Basiria	Bastiania	Boleodorus	Bunonema	Bursaphelenchus	Bursilla	Cephalenchus	Cephalobus	Cervidellus	Chiloplacus	Chromadorita	Chronogaster	Clarkus	Coomansus	Coslenchus	criconema	Criconemella	Criconemoides	Criptonchus	Cylindrolaimus	Daptonema	Dauer larva	Dintheria	Diphtherophora	Diplogasteritus	Discolaimium	Ditylenchus	Domorganus	Dorylaimellus	Dorylaimoides	Drilocephalobus	ecphyadophora	Epidorylaimus	Eucephalobus	Eudorylaimus	Eumonhystera 	Filenchus	Fungtionchun	Geomonhystera	Helicotylenchus	Hemicycliophora	Heterocephalobus	Hexatilus	Ironus	Labronema	Lelenchus	Leptolaimus	Leptonchus	Longidorella	Longidorus	Malenchus	Merlinius	Mesocriconema	Mesorhabditis	Metateratocephalus	Microdorylaimus	Microlaimus	Miconchus	Miculenchus	Monhystera	Monhystrella	Mylonchulus	Neopsilenchus	Neothada	Nothotylenchus	Nygolaimus	Ogma	Odontolaymus	Onchulus	Panagrolaimus	Paramphidelus	Paraphelenchus	Pararotylenchus	Paratrichodorus	Paratylenchus	Paraxonchium	Pellioditis	Pelodera	Plectus	Plectonchus	Pratylenchus	Prionchulus	Prismatolaimus	Pristionchus	Prodesmodora	Prodorylaimus	Pseudhalenchus	Psilenchus	Pungentus	Rhabditis	Rhabdolaimus	Rotylenchus	Sectonema	Seinura	Stenonchulus	Sterneinema	Subanguina	Tenunemellus	Teratocephalus	Teratorhabditis	Theristus	Thornia	Thonus	tobrilus	Trichistoma	Trichodorus	Tripyla	Trophonema	Turbatrix	Tylencholaimellus	Tylencholaimus	Tylenchorhynchus	Tylenchus	Tylocephalus	tylolaimophorus	Verutus	Wilsonema	Xiphinema	maturity_index	maturity_index _2-5 	sigma_maturity _index	plant_parasitic_index	channel_index	basal_index	enrichment_index	structure_index	total_biomass	composite_footprint	enrichment_footprint	structure_footprint	herbivore_footprint	fungivore_footprint	bacterivore_footprint	predator_footprint	omnivore_footprint	total_number	herbivores_percentage	fungivores_percentage	fungivores_percen_free-living	bacterivores_percentage	bacterivores_percen_free-living	predators_percen	predators_percen_free-living	omnivores_percentage	omnivores_percen_free-living	sedentary_parasites_percen_herbivores	migratory_endoparasites_percen_herbivores	semi-endoparasites_percen_herbivores	ectoparasites_percen_ herbivores	epidermal_percen_herbivores	"Algal/lichen/moss feeders, % of herbivores"	cp1_percen_free-living	cp2_percen_free-living	cp3_percen_free-living	cp4_percen_free-living	cp5_percen_free-living	pp2_percen_herbivores	pp3_percen_herbivores	pp4_percen_herbivores	pp5_percen_herbivores	bacterivores_number	fungivores_number	predators_number	hervibores_number	omnivores_number	ncr	f_b_ratio	nutritional_status_changes	f+b_pp	prey_predator	topdown	hervibores_number16	f_b_ratio16	fungivores_number16	hervibores_percen16	fungivores_percen16	prey_predator16	richness16	abundance16	shannong16
54	21	alcornoque	2	5	Alcornocales	drought	6.744995648	22.04151754	1.706	447.6232773	4.644360185	0.00000	0.09107	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.13660	0.00000	0.00000	0.04553	0.04553	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.22766	0.04553	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04553	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04553	0.00000	0.04553	0.00000	0.91066	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.63746	0.00000	0.00000	0.00000	0.04553	0.00000	0.00000	0.00000	0.31873	0.09107	0.00000	0.04553	0.04553	0.00000	0.04553	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04553	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.31873	0.00000	0.00000	0.00000	0.13660	0.00000	0.00000	0.00000	0.27320	0.00000	0.00000	0.00000	0.00000	0.00000	0.13660	0.00000	0.36426	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04553	0.00000	0.04553	0.04553	0.00000	0.09107	0.00000	0.00000	0.00000	0.22766	0.00000	0.04553	0.00000	0.00000	0.00000	0.00000	0.00000	2.56000	2.73000	2.46000	2.13000	41.82000	17.50000	61.11000	75.86000	0.01000	1.43000	0.17000	1.00000	0.15000	0.10000	0.29000	0.23000	0.67000	4.64000	22.50000	27.50000	35.40000	37.30000	48.10000	4.90000	6.30000	7.80000	10.10000	0.00000	0.00000	0.00000	34.80000	65.20000	0.00000	10.10000	44.30000	27.80000	15.20000	2.50000	95.70000	0.00000	0.00000	4.30000	1.73235	1.27720	0.22757	1.04498	0.36226	0.57562	0.73727	1.20188	2.88000	6.87402	0.56444	1.082847122	0.444444444	3.248541367	8	24	6.14285714	30	13.53558903	3.061399
55	23	alcornoque	3	6	Alcornocales	drought	6.842001186	23.76271574	1.663	1471.864914	2.186899729	0.00000	0.06561	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04374	0.00000	0.00000	0.00000	0.02187	0.00000	0.00000	0.00000	0.06561	0.00000	0.00000	0.00000	0.00000	0.00000	0.15308	0.15308	0.00000	0.00000	0.00000	0.00000	0.00000	0.15308	0.00000	0.00000	0.00000	0.00000	0.00000	0.04374	0.06561	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02187	0.00000	0.00000	0.06561	0.50299	0.00000	0.00000	0.00000	0.00000	0.02187	0.00000	0.00000	0.00000	0.04374	0.00000	0.00000	0.00000	0.02187	0.02187	0.02187	0.00000	0.02187	0.00000	0.04374	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02187	0.06561	0.00000	0.00000	0.00000	0.02187	0.00000	0.00000	0.00000	0.10934	0.08748	0.00000	0.00000	0.00000	0.00000	0.04374	0.00000	0.00000	0.00000	0.02187	0.00000	0.02187	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.17495	0.00000	0.02187	0.02187	0.00000	0.00000	0.02187	0.00000	2.35000	2.51000	2.34000	2.29000	40.98000	28.10000	52.59000	59.18000	0.00000	0.61000	0.12000	0.29000	0.07000	0.06000	0.24000	0.00000	0.24000	2.19000	14.00000	33.00000	38.40000	48.00000	55.80000	0.00010	0.00000	5.00000	5.80000	0.00000	0.00000	0.00000	21.40000	78.60000	0.00000	10.50000	64.00000	7.00000	17.40000	1.20000	85.70000	7.10000	0.00000	7.10000	1.04971	0.72168	0.00010	0.30617	0.10934	0.59259	0.68750	1.02620	5.78571	19.00000	0.35714	3.725071372	1	6.901184858	19	35.2	8.514285715	32	19.6056388	2.994238
56	26	quejigo	3	6	Alcornocales	drought	8.753481498	24.60857909	1.726	2088.431163	3.227922781	0.00000	0.03017	0.00000	0.00000	0.00000	0.06034	0.00000	0.03017	0.00000	0.00000	0.06034	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06034	0.03017	0.00000	0.00000	0.03017	0.00000	0.00000	0.06034	0.06034	0.00000	0.00000	0.00000	0.00000	0.00000	0.15084	0.00000	0.03017	0.00000	0.00000	0.00000	0.00000	0.09050	0.00000	0.00000	0.00000	0.00000	0.03017	0.00000	0.00000	0.00000	0.00000	0.03017	0.15084	0.00000	0.00000	0.03017	0.57318	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12067	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09050	0.00000	0.03017	0.06034	0.00000	0.00000	0.00000	0.00000	0.03017	0.00000	0.00000	0.00000	0.00000	0.03017	0.03017	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.21117	0.00000	0.00000	0.00000	0.18101	0.00000	0.00000	0.00000	0.00000	0.00000	0.06034	0.00000	0.06034	0.00000	0.00000	0.00000	0.03017	0.03017	0.00000	0.03017	0.06034	0.00000	0.06034	0.15084	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.36201	0.00000	0.06034	0.00000	0.00000	0.00000	0.03017	0.00000	2.71000	2.86000	2.62000	2.12000	45.10000	16.90000	56.04000	78.47000	0.00000	0.94000	0.51000	0.27000	0.04000	0.10000	0.64000	0.02000	0.14000	3.23000	15.90000	32.70000	38.90000	37.40000	44.40000	1.90000	2.20000	12.10000	14.40000	0.00000	0.00000	0.00000	11.80000	88.20000	0.00000	7.80000	44.40000	16.70000	31.10000	0.00000	88.20000	11.80000	0.00000	0.00000	1.20724	1.05553	0.06133	0.51324	0.39058	0.53352	0.87433	1.27830	4.40881	6.14286	0.88050	2.799788317	0.924242424	6.099538834	16.8	36.6	13.47826087	31	16.66540665	3.049974
57	27	alcornoque	3	6	Alcornocales	drought	7.563598217	23.20427291	1.353	315.8429846	3.327596838	0.03361	0.06722	0.00000	0.03361	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.13445	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.10084	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10084	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10084	0.00000	0.00000	0.03361	0.77308	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06722	0.03361	0.00000	0.00000	0.00000	0.00000	0.03361	0.00000	0.16806	0.00000	0.10084	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.00000	0.36973	0.00000	0.00000	0.00000	0.10084	0.00000	0.06722	0.00000	0.20167	0.00000	0.06722	0.00000	0.00000	0.00000	0.00000	0.00000	0.20167	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.00000	0.00000	0.03361	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.13445	0.00000	0.03361	0.00000	0.00000	0.00000	0.10084	0.00000	2.44000	2.56000	2.38000	2.19000	53.85000	23.96000	54.74000	66.27000	0.00000	0.44000	0.12000	0.19000	0.04000	0.08000	0.22000	0.06000	0.05000	3.33000	21.20000	32.30000	41.00000	38.40000	48.70000	2.00000	2.60000	6.10000	7.70000	4.80000	9.50000	0.00000	57.10000	28.60000	0.00000	7.70000	55.10000	23.10000	14.10000	0.00000	81.00000	19.00000	0.00000	0.00000	1.27780	1.07481	0.06655	0.70545	0.20298	0.54314	0.84115	1.11416	3.33491	11.34568	0.38208	1.341093634	1.241379311	2.299017658	21	36	6.142857146	32	6.38616016	3.040526
58	30	quejigo	3	6	Alcornocales	drought	10.99588226	33.64217816	1.333	2088.431163	4.789201954	0.18967	0.00000	0.00000	0.00000	0.00000	0.04742	0.00000	0.04742	0.00000	0.00000	0.09484	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09484	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18967	0.00000	0.00000	0.00000	0.00000	0.00000	0.04742	0.00000	0.00000	0.09484	0.00000	0.00000	0.00000	0.00000	0.04742	0.00000	0.00000	0.00000	0.00000	0.04742	0.00000	0.00000	0.00000	0.00000	0.00000	0.04742	0.04742	0.09484	0.14225	0.99577	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09484	0.04742	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09484	0.00000	0.09484	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09484	0.00000	0.00000	0.00000	0.37934	0.00000	0.00000	0.00000	0.14225	0.00000	0.00000	0.00000	0.00000	0.00000	0.23709	0.00000	0.04742	0.00000	0.04742	0.00000	0.09484	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09484	0.00000	0.04742	0.00000	0.09484	0.04742	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.47418	0.00000	0.09484	0.04742	0.00000	0.00000	0.28451	0.00000	2.64000	2.71000	2.57000	2.30000	67.57000	23.11000	45.12000	71.47000	0.00000	0.76000	0.13000	0.43000	0.07000	0.15000	0.25000	0.13000	0.17000	4.79000	19.80000	34.70000	43.20000	35.60000	44.40000	2.00000	2.50000	7.90000	9.90000	20.00000	0.00000	0.00000	50.00000	30.00000	0.00000	3.70000	55.60000	13.60000	27.20000	0.00000	70.00000	30.00000	0.00000	0.00000	1.70496	1.66185	0.09578	0.94826	0.37835	0.50640	0.97472	1.14783	3.55051	9.10101	0.50000	2.535895509	0.667368421	5.783301268	13.9	31.7	13.49275362	31	18.24385258	3.068442
59	31	alcornoque	3	6	Alcornocales	drought	11.29604796	19.0152953	1.625	1365.628989	4.494876948	0.00000	0.04450	0.08901	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.22252	0.00000	0.00000	0.00000	0.08901	0.00000	0.00000	0.00000	0.00000	0.00000	0.04450	0.00000	0.00000	0.00000	0.04450	0.08901	0.00000	0.00000	0.04450	0.00000	0.00000	0.00000	0.00000	0.08901	0.00000	0.00000	0.00000	0.00000	0.04450	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04450	0.00000	0.00000	0.13351	0.71206	0.00000	0.08901	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.08901	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04450	0.00000	0.00000	0.04450	0.00000	0.00000	0.00000	0.57855	0.00000	0.00000	0.00000	0.22252	0.00000	0.04450	0.00000	0.35603	0.00000	0.04450	0.00000	0.00000	0.00000	0.00000	0.00000	0.35603	0.00000	0.00000	0.04450	0.00000	0.00000	0.00000	0.00000	0.13351	0.00000	0.04450	0.00000	0.08901	0.04450	0.00000	0.00000	0.04450	0.00000	0.00000	0.00000	0.35603	0.00000	0.04450	0.00000	0.00000	0.00000	0.13351	0.00000	2.67000	2.71000	2.58000	2.18000	72.41000	21.19000	41.43000	75.08000	0.01000	1.50000	0.09000	1.23000	0.03000	0.11000	0.28000	0.12000	0.95000	4.49000	16.80000	28.70000	34.50000	44.60000	53.60000	3.00000	3.60000	6.90000	8.30000	0.00000	5.90000	0.00000	88.20000	5.90000	0.00000	2.40000	50.00000	28.60000	16.70000	2.40000	82.40000	17.60000	0.00000	0.00000	2.00472	1.29003	0.13485	0.75514	0.31015	0.60846	0.64350	1.22477	4.36310	9.10101	0.58929	2.844206689	0.766666667	1.86905011	35	23	7.333333327	30	8.126304825	3.01553
60	32	quejigo	3	6	Alcornocales	drought	11.58003754	37.00900219	1.423	121.0373342	4.692503831	0.00000	0.09984	0.14976	0.00000	0.00000	0.09984	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.24960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19968	0.29952	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14976	0.04992	0.00000	0.00000	0.00000	0.00000	0.00000	0.04992	0.00000	0.00000	0.24960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09984	1.04833	0.00000	0.00000	0.00000	0.00000	0.04992	0.00000	0.00000	0.00000	0.14976	0.00000	0.00000	0.00000	0.00000	0.04992	0.00000	0.00000	0.04992	0.00000	0.09984	0.09984	0.00000	0.00000	0.00000	0.00000	0.14976	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04992	0.00000	0.00000	0.00000	0.00000	0.00000	0.14976	0.00000	0.00000	0.00000	0.04992	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19968	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.14976	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54912	0.00000	0.14976	0.00000	0.00000	0.00000	0.00000	0.00000	2.78000	2.80000	2.73000	2.42000	86.67000	22.35000	38.96000	73.93000	0.02000	3.06000	0.11000	2.74000	0.06000	0.20000	0.20000	0.07000	2.53000	4.69000	12.80000	40.40000	46.30000	33.00000	37.80000	3.20000	3.70000	10.60000	12.20000	0.00000	0.00000	8.30000	33.30000	58.30000	0.00000	1.20000	57.30000	9.80000	25.60000	6.10000	58.30000	41.70000	0.00000	0.00000	1.54853	1.89577	0.15016	0.60064	0.49741	0.44959	1.22424	1.14876	5.73438	6.24638	1.07813	3.237394209	0.45	4.138714188	17.6	22.5	9.193877548	37	18.39428528	3.280402
61	36	quejigo	3	6	Alcornocales	control	8.202410247	25.52406446	1.715	764.2620369	12.01961394	0.12020	0.24039	0.48078	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12020	0.12020	0.12020	0.00000	0.36059	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.24039	0.00000	0.00000	2.64432	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12020	0.00000	0.00000	0.00000	0.00000	0.12020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12020	0.00000	0.00000	0.12020	0.00000	0.12020	1.92314	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12020	0.00000	0.12020	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.36059	0.00000	0.00000	0.00000	0.12020	0.00000	0.36059	0.00000	0.24039	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.12020	0.00000	0.00000	0.00000	0.24039	0.36059	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.48078	0.00000	0.00000	0.00000	0.84137	0.00000	0.72118	0.36059	0.00000	0.00000	0.48078	0.00000	2.35000	2.42000	2.34000	2.29000	55.56000	35.92000	37.89000	54.00000	0.03000	7.26000	4.60000	1.37000	0.79000	0.29000	5.02000	0.57000	0.60000	12.02000	17.00000	27.00000	32.50000	47.00000	56.60000	6.00000	7.20000	3.00000	3.60000	5.90000	23.50000	0.00000	23.50000	47.10000	0.00000	4.80000	71.10000	12.00000	8.40000	3.60000	70.60000	29.40000	0.00000	0.00000	5.64922	3.24530	0.72118	2.04333	0.36059	0.63514	0.57447	1.02620	4.35294	10.11111	0.52941	1.332538364	0.92287234	2.926524129	15.8	34.7	7.403361343	37	8.433787116	3.221388
62	40	quejigo	3	6	Alcornocales	control	8.892393546	30.35955143	1.632	2521.332608	7.746719244	0.00000	0.23240	0.07747	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07747	0.38734	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07747	0.00000	0.07747	0.00000	0.00000	0.38734	0.15493	0.15493	0.46480	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07747	0.00000	0.00000	0.00000	0.07747	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.07747	0.07747	0.00000	0.00000	1.08454	0.00000	0.00000	0.00000	0.00000	0.23240	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.38734	0.00000	0.00000	0.54227	0.00000	0.23240	0.00000	0.07747	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.15493	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.38734	0.07747	0.38734	0.00000	0.30987	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.23240	0.00000	0.00000	0.00000	0.00000	0.15493	0.00000	0.30987	0.07747	0.00000	0.00000	0.23240	0.00000	0.00000	0.07747	0.00000	0.00000	0.00000	0.00000	0.00000	0.30987	0.00000	0.07747	0.00000	0.00000	0.00000	0.00000	0.00000	2.25000	2.56000	2.25000	2.25000	24.71000	20.84000	66.93000	63.95000	0.01000	3.36000	2.26000	0.35000	0.48000	0.16000	2.49000	0.12000	0.12000	7.75000	20.00000	25.00000	31.30000	45.00000	56.30000	3.00000	3.70000	7.00000	8.70000	0.00000	30.00000	0.00000	0.00000	70.00000	0.00000	20.00000	52.50000	11.20000	15.00000	1.20000	75.00000	25.00000	0.00000	0.00000	3.48602	1.93668	0.23240	1.54934	0.54227	0.64286	0.55556	1.00000	3.50000	9.00000	0.50000	2.298893854	0.290909091	2.043461203	18	16	8.090909092	37	12.77163252	3.346436
63	41	alcornoque	3	6	Alcornocales	control	11.38565576	50.89626012	1.486	325.9493236	14.00587077	0.00000	0.13867	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.41602	0.00000	0.00000	0.00000	0.13867	0.13867	0.00000	0.00000	0.13867	0.27734	0.13867	1.24805	0.00000	0.00000	0.00000	0.41602	0.00000	0.00000	0.00000	0.00000	0.00000	0.13867	0.00000	0.27734	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.13867	0.00000	0.00000	0.00000	0.00000	0.00000	0.13867	0.13867	0.00000	1.66406	1.10938	0.00000	0.13867	0.00000	0.00000	0.13867	0.00000	0.00000	0.00000	0.69336	0.27734	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.13867	0.00000	0.00000	0.27734	0.00000	0.00000	0.41602	0.00000	0.00000	0.00000	0.00000	0.00000	0.13867	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.38672	0.00000	0.27734	0.00000	0.41602	0.00000	0.83203	0.00000	0.00000	0.00000	0.00000	0.00000	0.27734	0.00000	0.00000	0.00000	0.13867	0.41602	0.00000	0.00000	0.27734	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.27734	0.00000	0.00000	0.27734	0.27734	0.00000	0.00000	0.00000	0.00000	0.00000	0.27734	0.00000	2.36000	2.44000	2.36000	2.33000	52.38000	31.50000	42.86000	58.75000	0.04000	8.46000	5.29000	2.23000	0.08000	0.34000	6.12000	0.49000	1.44000	14.01000	11.90000	25.70000	29.20000	56.40000	64.00000	4.00000	4.50000	2.00000	2.20000	0.00000	16.70000	0.00000	16.70000	66.70000	0.00000	5.60000	62.90000	23.60000	5.60000	2.20000	66.70000	33.30000	0.00000	0.00000	7.89931	3.59951	0.56023	1.66670	0.28012	0.68697	0.45567	1.01288	6.89916	15.66667	0.50420	2.543069062	0.6	5.281758822	13	27	5.666666668	38	19.56206971	3.296279
64	42	alcornoque	3	6	Alcornocales	control	7.641703377	29.41669929	1.487	315.8429846	9.4293626	0.00000	0.18859	0.18859	0.00000	0.00000	0.18859	0.00000	0.00000	0.00000	0.00000	0.84864	0.09429	0.00000	0.00000	0.28288	0.00000	0.00000	0.00000	0.00000	0.18859	0.00000	0.00000	0.00000	0.00000	0.09429	0.18859	0.00000	0.00000	0.00000	0.09429	0.00000	0.00000	0.00000	0.37717	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.28288	0.00000	0.00000	0.28288	2.07446	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.66006	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09429	0.09429	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09429	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18859	0.00000	0.00000	0.00000	0.18859	0.18859	0.18859	0.00000	0.75435	0.00000	0.00000	0.00000	0.28288	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18859	0.00000	0.00000	0.00000	0.00000	0.28288	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09429	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.28288	0.00000	0.28288	0.18859	0.00000	0.00000	0.00000	0.00000	2.48000	2.60000	2.43000	2.21000	57.14000	25.90000	51.85000	64.08000	0.05000	7.88000	3.97000	3.44000	0.11000	0.23000	4.25000	0.09000	3.19000	9.43000	19.00000	35.00000	43.20000	36.00000	44.40000	1.00000	1.20000	9.00000	11.10000	0.00000	0.00000	0.00000	31.60000	68.40000	0.00000	7.40000	64.20000	7.40000	14.80000	6.20000	78.90000	21.10000	0.00000	0.00000	3.39457	3.30028	0.09429	1.79158	0.84864	0.50704	0.97222	1.12217	3.73684	9.00000	0.52632	3.008507821	0.869706841	2.383595217	33.7	26.7	10.23595506	29	8.92732291	2.845811
