Code	Finca	Plot	Bloque	Tratam	Nºarbol	Especie	NMuestra Lab.	%Sand	pH18	%Hum18	%MO18	Cmic18 	Nmic18	Pmic18	Cmic/Nmic18	Cmic/Pmic18	Nmic/Pmic18	PBray18	NO3_18	NH4_18	Ureasa18	B-Glucosidasa18	Fosfomonoesterasa18	pathogen2016	pathogen2017	pathogen2018
32	Gamir	5	3	Control	41	Alcornoque	G-32	72.22	5.15	42.71	11.39	829.95	151.14	50.36	5.49	16.48	3	3.63	34.82	21.71	4.341	1.81	3.155	15	175	76
33	Gamir	5	3	Control	42	Alcornoque	G-33	72.77	5.19	30.9	7.64	525.97	97.53	30.87	5.39	17.04	3.16	0.96	20.77	18.37	4.9	1.158	1.001	62	36	607
34	Gamir	5	3	Control	43	Alcornoque	G-34	74.63	5.04	29.85	7.31	481.25	77.81	25.01	6.19	19.24	3.11	2.93	25.8	8.11	3.198	1.059	0.603	54	69	180
35	Gamir	5	3	Control	44	Quejigo	G-35	78.29	6.69	51.37	8.16	162.16	89.49	37.83	1.81	4.29	2.37	0.91	59.08	2.76	8.945	1.548	0	0	249	135
36	Gamir	6	1	Sequía	47	Quejigo	G-36	71.9	5.1	31.82	11.1	773.53	136.89	41.18	5.65	18.78	3.32	2.05	21.8	11.98	2.579	1.947	5.038	95	26	204
37	Gamir	6	1	Sequía	49	Alcornoque	G-37	76.04	4.99	58.63	9.94	790.55	137.1	55.11	5.77	14.34	2.49	9.43	46.3	28.99	10.398	2.909	3.81	55	76	146
38	Gamir	6	1	Sequía	50	Quejigo	G-38	79.63	5.64	31.92	11.28	504.24	123.89	45.4	4.07	11.11	2.73	2.44	35.5	7.61	5.888	1.48	3.79	144	106	18
40	Gamir	6	1	Sequía	52	Quejigo	G-40	74.73	5.69	10.85	6.48	507.09	111.01	25.94	4.57	19.55	4.28	0.52	34.67	2.96	4.418	0.895	1.198	165	15	43
42	Gamir	6	1	Sequía	54	Alcornoque	G-42	81.58	5.19	28.4	6.24	657.35	122.71	42.99	5.36	15.29	2.85	1.05	20.72	15.38	4.271	1.362	2.361	175	142	82
43	Gamir	6	1	Sequía	55	Alcornoque	G-43	81.85	5.22	34.57	7	750.17	131.35	52.26	5.71	14.36	2.51	1.37	29.98	16.62	4.153	1.727	3.981	56	50	38
